Section,Drink,Category,Glass type,Image,Description,SPECS,ML OF CASE,CASE PURCHASE COST,COST PER DRINK,COGS INCL GST,SELL PRICE,COGS %,MARGIN %,IDEAL DRINKING TIME,IDEAL PAIRING
Sessionables,Like it Like That Prosecco,Wine,Wine glass,https://assets.paramountliquor.com.au/assets/Uploads/10011990LIKE-IT-LIKE-THAT-PROSECCO-FINAL__PadWzEwMjQsMTAyNCwiRkZGRkZGIiwxMDBd.png,"This fizz is bright, zesty and packed with punch. Lifted citrus notes, crunchy green apple and a super fresh finish.",120,750,12.03,1.9248,2.11728,14,15%,85%,Summer,
Sessionables,Fierce III Barossa Shiraz,Wine,Wine glass,https://loumirandaestate.com.au/wp-content/uploads/2021/12/Birthday-17-lr.jpg,Dark fruit and spicy flavour explosion with velvety tannis. The fruit characters of dark chocolate and clove notes creates a rich and generous wine.,150,750,22.29,4.458,4.9038,15,33%,67%,Autumn,
Sessionables,Lienert Tierra del Puerco Rose,Wine,Wine glass,https://lucacollections.com.au/cdn/shop/files/LienertVineyardsfamily2_v2_eb43a63c-b9f9-4f6f-a80e-73087ff27e6f.jpg?v=1708655546&width=1080,"Vivacious and fresh, with a touch of wood time through fermentation for texture and mouthfeel. Strawberries and raspberries jump out of the glass and race up my hooter where they are welcomed like homecoming heroes. ",150,750,16.03,3.206,3.5266,15,24%,76%,Spring,
Sessionables,Serafino Black Label Cab Sauv,Wine,Wine glass,https://omws.co.uk/cdn/shop/products/SerafinoMcLarenValueCabernetSauvignon2019AustralianRedWine.jpg?v=1645563835,"Full of flavour, texture and complexity. Displaying blackberry, coco, ripe red jalapeno, plum and black olive characters. Finishing with fine tannins and power enhanced by quality integrated oak.",150,750,19.13,3.826,4.2086,15,28%,72%,Winter,
Sessionables,Long Story Short Single Vineyard Pinot Noir,Wine,Wine glass,https://assets.paramountliquor.com.au/assets/Uploads/41892-Long-Story-Short-26-Maples-Pinot-Noir-FINAL-v2__PadWzEwMjQsMTAyNCwiRkZGRkZGIiwxMDBd.png,"A harmonious blend of ripe cherry and subtle earthy notes, complemented by hints of spice and silky tannins. The careful ageing in oak barrels enhances its structure and adds a layer of complexity that is both intriguing and satisfying.",150,750,37.68,7.536,8.2896,18,46%,54%,,Red Meat
Sessionables,Long Story Short Single Vineyard Chardonnay,Wine,Wine glass,https://images.unsplash.com/photo-1600628553299-f18dc0c2105c?q=80&w=987&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"The Long Story Short Single Vineyard Chardonnay 750ml offers an exquisite balance of oak and fruit, with notes of vanilla and toasted almond complementing the core of peach and melon. ",150,750,37.68,7.536,8.2896,18,46%,54%,,Chicken
Sessionables,Tomich Woodside Vineyard Sauvignon Blanc,Wine,Wine glass,https://glamadelaide.com.au/wp-content/uploads/2021/03/2020.08.22-Tomich_Color-3.jpg,"Fresh and clean, made carefully from six parcels at their prime. Intensely concentrated flavour of lime, subtle passionfruit with remarkable fruit purity. This wine is unoaked displaying a delicate minerality and crisp acid finish.",150,750,19.31,3.862,4.2482,15,28%,72%,,Fish
Sessionables,Tomich Woodside Ice Wine (Gewurztraminer),Wine,Wine glass,https://tomich.com.au/wp-content/uploads/2020/09/Woodside-Vineyard.jpg,"A refined palate displaying beautiful mineral notes, great with acidity, finishing with good round mouth feel. ",150,750,19.31,3.862,4.2482,15,28%,72%,,Curry
Sessionables,Bird in Hand Syrah,Wine,Wine glass,https://shop.birdinhand.com.au/cdn/shop/files/Untitleddesign_5abd2bc1-1f96-4d3a-b822-a917c4bf2be9_1200x1200.png?v=1715750721,"A compelling flavour profile of blackberry, violet, and subtle spice, underpinned by dried herbs. The wine's ageing in both new and used French barriques adds a refined complexity, enhancing its silky texture and bright acidity.",150,750,27.75,5.55,6.105,18,34%,66%,,Red Pasta
Sessionables,Mountain Culture Status Quo,Beer,,https://mountainculture.com.au/cdn/shop/files/brewery-bg_1200x1200.jpg?v=1613177016,"Status Quo is a juicy New England Pale Ale. Made for hop lovers with massive late and dry hop additions, it's full flavoured and more tropical than the Hawaiian ukulele orchestra.",570,50000,325,3.705,4.0755,15,27%,73%,,
Sessionables,Bodriggy Utropia Pale Ale,Beer,,https://www.bodriggy.beer/content/5-brewpub/1-image-slider/brewpub-6.jpg,"A tropical little ripper, fits the bill for a long winding arvo. You know the one. Where there is nothing left to do but bask in the warm company and pit of contentment in the bright universe around you. Don't say anything different. This sunshine will never fade.",570,50000,281.59,3.210126,3.5311386,15,24%,76%,,
Sessionables,Stingrays Draught,Beer,,https://craftypint.s3.amazonaws.com/crafty-v4/beer/Bodriggy-longneck-241113-143633.png,"Stingrays Draught is a beer that every Tom, Dick and Harriet can enjoy. Filtered and fermented at a cool temperature to keep it clean and refreshing, this froff served ice cold will never let you down. Stay a while on a Stingrays Draught.",570,50000,252.08,2.873712,3.1610832,15,21%,79%,,
Sessionables,Stingrays Draught Can,Beer,,https://shop.bodriggy.beer/cdn/shop/products/STINGRAYS_grande.png?v=1717651014,"Stingrays Draught is a beer that every Tom, Dick and Harriet can enjoy. Filtered and fermented at a cool temperature to keep it clean and refreshing, this froff served ice cold will never let you down. Stay a while on a Stingrays Draught.",355,355,2.57,2.57,2.827,10,28%,72%,,
Sessionables,Mountain Culture Status Quo Can,Beer,,https://fgtp.com.au/cdn/shop/products/image_06356149-187c-407e-8d50-cd272d412914_1000x1000.heic?v=1677471070,"Status Quo is a juicy New England Pale Ale. Made for hop lovers with massive late and dry hop additions, it's full flavoured and more tropical than the Hawaiian ukulele orchestra.",355,355,2.5,2.5,2.75,10,28%,73%,,
Sessionables,Bodriggy Utropia Pale Ale Can,Beer,,https://carwyncellars.com.au/cdn/shop/files/20240320_bodriggy-utropia.jpg?v=1749685647,"A tropical little ripper, fits the bill for a long winding arvo. You know the one. Where there is nothing left to do but bask in the warm company and pit of contentment in the bright universe around you. Don't say anything different. This sunshine will never fade.",355,355,2.99,2.99,3.289,10,33%,67%,,
Sessionables,Peroni Nastro Azzurro Bottles,Beer,,https://www.nectar.net/files/pages/00001945/pna_04_tavola_al_fresco_0633_rgb%201000.jpg,"Created with the sharp, sophisticated beer drinker in mind, using high quality ingredients and supreme craftmanship that infuse with the unmistakable essence of Italian style; every sip evokes the qualities of an Italian summer.",330,330,3.55,3.55,3.905,12,33%,67%,,
Sessionables,Stone & Wood Pacific Ale Bottles,Beer,,https://stoneandwood.com.au/cdn/shop/files/pa_bottle.jpg?v=1687747220&width=1500,"Golden hazy Pacific Ale brewed with all Australian barley, wheat and Galaxy hops from Tasmania, which give the beer its big tropical fruit aromas and flavours and refreshment. This is what we’ve long called ‘Byron Bay in a bottle’. ",330,330,3.19,3.19,3.509,12,29%,71%,,
